Ciudad,Dirección,Teléfono,Correo,Web
Leticia,calle3norte-carrera2norte,3641285522,sede1leticia@correo.com,sedeLeticia
Bogotá,calle50sur-carrera3norte,3145846999,sede1bogota@correo.com,sedeBogota
Medellín,carrera2sur-nortecalle3sur,6545256987,sede1medellin@correo.com,sedeMedellin
Popayán,calle75norte-carrera3norte,3516485237,sede1popayan@correo.com,sedePopayan
Bogotá,carrera6norte-calle100norte,5416245222,sede2bogota@correo.com,sedeBogota
Medellín,calle2sur-carrera33sur,2555463789,sede2medellin@correo.com,sedeMedellin
Medellín,carrera5sur-calle3sur,1205406874,sede3medellin@correo.com,sedeMedellin
Cartagena,calle55sur-carrera3norte,3012569845,sede1cartagena@correo.com,sedeCartagena
Bucaramanga,calle5sur-carrera5norte,3025156662,sede1bucaramanga@correo.com,sedeBucaramanga
Bucaramanga,carrera61sur-calle61sur,2015684966,sede2bucaramanga@correo.com,sedeBucaramanga
Bogotá,carrera4-calle65norte,2645898856,sede3bogota@correo.com,sedeBogota
Bogotá,calle5norte-carrera3norte,1542678555,sede4bogota@correo.com,sedeBogota
Cúcuta,calle55norte-carrera33sur,3415674852,sede1cucuta@correo.com,sedeCucuta
Cali,calle2sur-carrera33sur,5241684566,sede1cali@correo.com,sedeCali
Cartagena,calle88sur-carrera115norte,5624513666,sede2cartagena@correo.com,sedeCartagena
Bogotá,calle77norte-carrera6norte,3246846555,sede5bogota@correo.com,sedeBogota
Bogotá,carrera66norte-calle2norte,1595478634,sede6bogota@correo.com,sedeBogota
Cali,calle3norte-carrera3norte,1562354875,sede2cali@correo.com,sedeCali
Cali,calle53sur-carrera6sur,8745621548,sede3cali@correo.com,sedeCali
Cali,calle66norte-carrera3norte,3845698777,sede4cali@correo.com,sedeCali
Popayán,carrera33norte-calle5norte,7456215485,sede2popayan@correo.com,sedePopayan
Santa Marta,calle5norte-carrera3sur,3652154856,sede1santamarta@correo.com,sedeSantaMarta
Cali,calle56sur-carrera66norte,3652738549,sede5cali@correo.com,sedeCali
Medellín,calle178norte-carrera3norte,3652459845,sede4medellin@correo.com,sedeMedellin
Cali,calle1sur-carrera1sur,9542416662,sede6cali@correo.com,sedeCali
